District,School ID,School name,City,School total,Report period,Date updated
Milford School District,2362,Calf Pen Meadow School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2366,The Academy,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2367,Fifth Year Vocational Experience,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2373,Post Grad Transitional Academy,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2374,Meadowside School,Milford,<6,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2375,Orange Avenue School,Milford,<6,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2376,Pumpkin Delight School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2377,Live Oaks School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2378,Mathewson School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2379,Orchard Hills School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2380,J. F. Kennedy School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2381,East Shore Middle School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2382,Harborside Middle School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2383,West Shore Middle School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2387,Jonathan Law High School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2388,Joseph A. Foran High School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Connecticut Technical Education and Career System,3699,Platt Technical High School,Milford,0,10/22/2020 - 10/28/2020,10/29/2020
Milford School District,2362,Calf Pen Meadow School,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2363,Milford Academy,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2364,Charles F. Hayden School at Boys & Girls Village,Milford,<6,10/29/2020-11/04/2020,11/05/2020
Milford School District,2365,Team Egan Center,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2366,The Academy,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2367,Fifth Year Vocational Experience,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2368,Saint Mary School-Milford,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2369,Good Shepherd Day Care Center,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2371,Milford Christian Academy,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2372,Milestones Behavioral Services-Milford,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2373,Post Grad Transitional Academy,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2374,Meadowside School,Milford,<6,10/29/2020-11/04/2020,11/05/2020
Milford School District,2375,Orange Avenue School,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2376,Pumpkin Delight School,Milford,<6,10/29/2020-11/04/2020,11/05/2020
Milford School District,2377,Live Oaks School,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2378,Mathewson School,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2379,Orchard Hills School,Milford,<6,10/29/2020-11/04/2020,11/05/2020
Milford School District,2380,J. F. Kennedy School,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2381,East Shore Middle School,Milford,<6,10/29/2020-11/04/2020,11/05/2020
Milford School District,2382,Harborside Middle School,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2383,West Shore Middle School,Milford,<6,10/29/2020-11/04/2020,11/05/2020
Milford School District,2384,The Foundation School-Milford,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2385,"Academy of Our Lady of Mercy, Lauralton Hall",Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2386,Woodhouse Academy,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2387,Jonathan Law High School,Milford,<6,10/29/2020-11/04/2020,11/05/2020
Milford School District,2388,Joseph A. Foran High School,Milford,<6,10/29/2020-11/04/2020,11/05/2020
Connecticut Technical Education and Career System,3699,Platt Technical High School,Milford,<6,10/29/2020-11/04/2020,11/05/2020
Judicial Centers,3836,REGIONS staff secure,Milford,0,10/29/2020-11/04/2020,11/05/2020
Milford School District,2362,Calf Pen Meadow School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2363,Milford Academy,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2364,Charles F. Hayden School at Boys & Girls Village,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2365,Team Egan Center,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2366,The Academy,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2367,Fifth Year Vocational Experience,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2368,Saint Mary School-Milford,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2369,Good Shepherd Day Care Center,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2371,Milford Christian Academy,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2372,Milestones Behavioral Services-Milford,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2373,Post Grad Transitional Academy,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2374,Meadowside School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2375,Orange Avenue School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2376,Pumpkin Delight School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2377,Live Oaks School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2378,Mathewson School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2379,Orchard Hills School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2380,J. F. Kennedy School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2381,East Shore Middle School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2382,Harborside Middle School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2383,West Shore Middle School,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2384,The Foundation School-Milford,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2385,"Academy of Our Lady of Mercy, Lauralton Hall",Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2386,Woodhouse Academy,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2387,Jonathan Law High School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Milford School District,2388,Joseph A. Foran High School,Milford,7,11/05/2020-11/11/2020,11/12/2020
Connecticut Technical Education and Career System,3699,Platt Technical High School,Milford,<6,11/05/2020-11/11/2020,11/12/2020
Judicial Centers,3836,REGIONS staff secure,Milford,0,11/05/2020-11/11/2020,11/12/2020
Milford School District,2362,Calf Pen Meadow School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2363,Milford Academy,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2364,Charles F. Hayden School at Boys & Girls Village,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2365,Team Egan Center,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2366,The Academy,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2367,Fifth Year Vocational Experience,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2368,Saint Mary School-Milford,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2369,Good Shepherd Day Care Center,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2371,Milford Christian Academy,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2372,Milestones Behavioral Services-Milford,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2373,Post Grad Transitional Academy,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2374,Meadowside School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2375,Orange Avenue School,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2376,Pumpkin Delight School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2377,Live Oaks School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2378,Mathewson School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2379,Orchard Hills School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2380,J. F. Kennedy School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2381,East Shore Middle School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2382,Harborside Middle School,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2383,West Shore Middle School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2384,The Foundation School-Milford,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2385,"Academy of Our Lady of Mercy, Lauralton Hall",Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2386,Woodhouse Academy,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2387,Jonathan Law High School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Milford School District,2388,Joseph A. Foran High School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Connecticut Technical Education and Career System,3699,Platt Technical High School,Milford,<6,11/12/2020-11/18/2020,11/19/2020
Judicial Centers,3836,REGIONS staff secure,Milford,0,11/12/2020-11/18/2020,11/19/2020
Milford School District,2362,Calf Pen Meadow School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2363,Milford Academy,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2364,Charles F. Hayden School at Boys & Girls Village,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2365,Team Egan Center,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2366,The Academy,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2367,Fifth Year Vocational Experience,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2368,Saint Mary School-Milford,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2369,Good Shepherd Day Care Center,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2371,Milford Christian Academy,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2372,Milestones Behavioral Services-Milford,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2373,Post Grad Transitional Academy,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2374,Meadowside School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2375,Orange Avenue School,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2376,Pumpkin Delight School,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2377,Live Oaks School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2378,Mathewson School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2379,Orchard Hills School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2380,J. F. Kennedy School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2381,East Shore Middle School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2382,Harborside Middle School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2383,West Shore Middle School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2384,The Foundation School-Milford,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2385,"Academy of Our Lady of Mercy, Lauralton Hall",Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2386,Woodhouse Academy,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2387,Jonathan Law High School,Milford,6,11/19/2020-11/25/2020,11/25/2020
Milford School District,2388,Joseph A. Foran High School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Connecticut Technical Education and Career System,3699,Platt Technical High School,Milford,<6,11/19/2020-11/25/2020,11/25/2020
Judicial Centers,3836,REGIONS staff secure,Milford,0,11/19/2020-11/25/2020,11/25/2020
Milford School District,2362,Calf Pen Meadow School,Milford,<6,11/26/2020-12/02/2020,12/03/2020
Milford School District,2363,Milford Academy,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2364,Charles F. Hayden School at Boys & Girls Village,Milford,7,11/26/2020-12/02/2020,12/03/2020
Milford School District,2365,Team Egan Center,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2366,The Academy,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2367,Fifth Year Vocational Experience,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2368,Saint Mary School-Milford,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2369,Good Shepherd Day Care Center,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2371,Milford Christian Academy,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2372,Milestones Behavioral Services-Milford,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2373,Post Grad Transitional Academy,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2374,Meadowside School,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2375,Orange Avenue School,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2376,Pumpkin Delight School,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2377,Live Oaks School,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2378,Mathewson School,Milford,<6,11/26/2020-12/02/2020,12/03/2020
Milford School District,2379,Orchard Hills School,Milford,<6,11/26/2020-12/02/2020,12/03/2020
Milford School District,2380,J. F. Kennedy School,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2381,East Shore Middle School,Milford,<6,11/26/2020-12/02/2020,12/03/2020
Milford School District,2382,Harborside Middle School,Milford,<6,11/26/2020-12/02/2020,12/03/2020
Milford School District,2383,West Shore Middle School,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2384,The Foundation School-Milford,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2385,"Academy of Our Lady of Mercy, Lauralton Hall",Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2386,Woodhouse Academy,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2387,Jonathan Law High School,Milford,<6,11/26/2020-12/02/2020,12/03/2020
Milford School District,2388,Joseph A. Foran High School,Milford,<6,11/26/2020-12/02/2020,12/03/2020
Connecticut Technical Education and Career System,3699,Platt Technical High School,Milford,<6,11/26/2020-12/02/2020,12/03/2020
Judicial Centers,3836,REGIONS staff secure,Milford,0,11/26/2020-12/02/2020,12/03/2020
Milford School District,2362,Calf Pen Meadow School,Milford,0,12/03/2020-12/09/2020,12/10/2020
Milford School District,2363,Milford Academy,Milford,0,12/03/2020-12/09/2020,12/10/2020
Milford School District,2364,Charles F. Hayden School at Boys & Girls Village,Milford,<6,12/03/2020-12/09/2020,12/10/2020
Milford School District,2365,Team Egan Center,Milford,0,12/03/2020-12/09/2020,12/10/2020
Milford School District,2366,The Academy,Milford,0,12/03/2020-12/09/2020,12/10/2020
